카가, 97, 188
차타, 77, 162
하자, 45, 164
나사, 47, 167
나다, 92, 151
나파, 83, 166
바나, 43, 185
자아, 94, 181
가마, 43, 163
라다, 89, 175
라라, 47, 187
사카, 86, 147
차라, 41, 151
자바, 60, 174
라마, 97, 198
차가, 81, 163
아바, 48, 155
파마, 59, 187
아나, 47, 181
마파, 57, 197
하사, 66, 165
바나, 80, 140
가파, 99, 161
다차, 78, 182
가나, 92, 159
카가, 58, 143
아가, 54, 163
차아, 42, 150
바타, 47, 148
가자, 64, 171
아자, 79, 178
다라, 56, 183
사마, 74, 189
아사, 95, 198
마차, 65, 200
사카, 67, 182
바자, 41, 173
가하, 96, 141
다다, 43, 164
나바, 98, 198
사자, 97, 158
자다, 73, 198
타하, 68, 176
파하, 53, 197
다바, 71, 161
자사, 57, 156
파마, 44, 182
파파, 66, 180
카사, 52, 189
카하, 97, 159
아가, 50, 162
다카, 67, 173
바자, 53, 186
카차, 73, 195
자라, 77, 192
파나, 43, 156
아다, 91, 186
카마, 94, 166
라다, 65, 167
다카, 67, 199
라다, 79, 161
파다, 87, 170
마파, 71, 140
가카, 90, 194
라마, 77, 164
나라, 47, 179
바카, 81, 169
마사, 44, 155
아바, 75, 175
가파, 45, 173
타카, 81, 155
사가, 68, 181
하차, 69, 188
다차, 82, 189
사나, 43, 182
자사, 62, 171
다차, 73, 192
바라, 50, 163
아아, 61, 177
나바, 59, 170
나가, 46, 163
나카, 97, 170
마자, 63, 180
가나, 50, 156
나라, 56, 186
사카, 48, 191
파바, 44, 186
아가, 95, 176
자나, 85, 145
마마, 51, 192
차자, 91, 200
하사, 96, 170
차다, 77, 177
바사, 58, 155
카다, 42, 151
바가, 79, 189
라사, 90, 184
가마, 60, 159
가파, 88, 141
라자, 48, 182
차차, 58, 189
하파, 80, 157
마사, 84, 193
사카, 52, 159
파타, 80, 189
가하, 53, 175
나마, 60, 180
바타, 91, 192
차바, 42, 171
라타, 70, 172
타자, 68, 172
하마, 41, 175
타나, 87, 140
나차, 67, 146
라마, 42, 197
타나, 76, 179
다자, 99, 184
라카, 62, 169
차자, 47, 163
가바, 82, 193
사마, 84, 161
아자, 79, 143
아라, 84, 170
라파, 51, 190
카나, 99, 154
마나, 79, 176
다다, 78, 166
하차, 59, 193
파라, 64, 165
파나, 55, 163
차마, 48, 184
타파, 45, 194
차나, 71, 159
타사, 49, 161
마카, 94, 175
바다, 80, 143
바마, 76, 153
나타, 80, 176
마나, 92, 161
나가, 74, 185
차사, 99, 150
파나, 51, 183
사차, 86, 200
사라, 72, 150
타바, 94, 191
마나, 90, 161
카자, 44, 163
바마, 43, 148
자마, 55, 184
타마, 87, 165
카타, 99, 177
가아, 64, 158
마가, 58, 140
다사, 90, 148
타나, 60, 191
가사, 41, 188
파가, 96, 194
다나, 62, 162
라마, 66, 160
자나, 89, 165
하다, 71, 150
나파, 66, 181
타타, 51, 179
아나, 73, 173
나다, 83, 192
바차, 44, 157
라마, 62, 158
바마, 72, 144
사하, 63, 194
아가, 64, 178
마차, 88, 143
아차, 53, 171
자나, 79, 166
다하, 69, 145
파하, 90, 152
가사, 68, 179
사바, 63, 191
가사, 77, 171
타나, 62, 193
사다, 79, 190
파파, 98, 176
파라, 75, 153
나하, 96, 140
차바, 84, 163
파다, 48, 195
라사, 43, 150
가라, 97, 198
하카, 94, 180
차타, 62, 144
다자, 41, 172
가바, 67, 178
파타, 95, 179
하하, 87, 140
마사, 75, 168
아마, 55, 184
사다, 93, 196
바마, 63, 154
파타, 88, 143
하라, 89, 200
카나, 98, 185
라다, 77, 145
차나, 46, 161
타타, 81, 175
라파, 76, 165
파사, 66, 152
자하, 64, 169
가나, 58, 193
바가, 87, 166
카사, 64, 186
아다, 90, 188
가타, 44, 198
다자, 96, 192
바아, 86, 200
아타, 78, 148
타가, 85, 188
사타, 91, 199
라파, 92, 161
차바, 97, 168
다라, 44, 164
파차, 73, 160
아파, 82, 150
가자, 53, 167
사나, 83, 182
카마, 62, 197
파파, 56, 156
자자, 74, 190
카카, 42, 174
사하, 43, 182
차마, 65, 180
마마, 84, 145
카가, 44, 178
파차, 78, 145
가라, 75, 143
아자, 40, 167
마파, 82, 199
다하, 63, 170
아파, 83, 144
다바, 89, 176
아바, 78, 189
타파, 72, 142
타다, 72, 195
타라, 40, 196
자차, 47, 158
다마, 97, 187
차파, 42, 160
사타, 52, 198
나사, 55, 157
바사, 85, 151
가하, 93, 160
라바, 51, 148
하차, 68, 144
하바, 85, 187
바아, 78, 179
자마, 79, 172
자파, 43, 142
아바, 85, 159
자하, 69, 178
하하, 57, 197
차파, 64, 163
자바, 77, 177
다카, 93, 198
타차, 47, 184
자나, 99, 181
바하, 81, 164
나타, 78, 158
라카, 77, 155
다카, 51, 155
차아, 82, 198
다타, 67, 194
나하, 51, 140
카바, 77, 143
가다, 85, 161
라카, 86, 172
파라, 51, 200
차가, 84, 155
차바, 62, 184
아다, 57, 174
다차, 51, 199
자사, 64, 186
가자, 63, 200
마마, 56, 195
다자, 76, 199
파파, 81, 189
나하, 67, 185
마하, 96, 180
바가, 80, 172
바파, 73, 172
라라, 53, 164
하파, 50, 196
자라, 59, 175
차바, 98, 161
차자, 81, 180
라카, 48, 181
가가, 46, 174
사나, 55, 189
바바, 99, 184
카사, 92, 173
자하, 76, 174
사라, 53, 180
자라, 96, 162
마가, 42, 164
자아, 63, 179
차바, 97, 196
카아, 85, 175
가카, 63, 149
아사, 80, 154
사타, 92, 166
바가, 91, 153
사다, 83, 194
사자, 49, 145
바라, 90, 195
자하, 92, 183
사파, 75, 189
타카, 57, 158
나마, 67, 150
아사, 83, 149
카하, 62, 144
바바, 63, 177
마파, 62, 188
라파, 82, 167
카라, 85, 146
타하, 81, 199
마하, 71, 189
가바, 87, 166
하나, 75, 199
카파, 50, 160
라마, 61, 193
파파, 40, 147
나하, 86, 197
다바, 93, 179
타바, 87, 187
하나, 81, 151
카마, 50, 164
자아, 83, 140
